Datum,Maximum,Minimum
20170121,64,43
20170122,61,36
20170123,57,35
20170124,60,35
20170125,55,39
20170126,54,44
20170127,57,48
20170128,59,45
20170129,63,45
20170130,59,41
20170131,55,48
20170201,53,46
20170202,55,44
20170203,59,37
20170204,66,39
20170205,64,43
20170206,61,46
20170207,61,51
20170208,60,51
20170209,61,55
20170210,62,55
20170211,61,46
20170212,59,43
20170213,57,46
20170214,61,39
20170215,64,44
20170216,71,46
20170217,73,51
20170218,60,46
20170219,63,44
20170220,57,45
20170221,59,48
20170222,55,44
20170223,55,42
20170224,57,39
20170225,55,48
20170226,57,44
20170227,53,39
20170228,53,37
20170301,54,37
20170302,61,39
20170303,66,43
20170304,70,48
20170305,68,53
20170306,69,46
20170307,62,51
20170308,61,46
20170309,60,45
20170310,68,46
20170311,79,48
20170312,80,52
20170313,73,53
20170314,64,48
20170315,78,46
20170316,78,50
20170317,62,51
20170318,66,46
20170319,64,48
20170320,60,48
20170321,66,46
20170322,73,43
20170323,78,48
20170324,68,48
20170325,64,53
20170326,66,48
20170327,57,46
20170328,66,42
20170329,73,42
20170330,72,46
20170331,69,46
20170401,64,46
20170402,69,46
20170403,71,46
20170404,69,50
20170405,71,52
20170406,64,52
20170407,68,51
20170408,71,51
20170409,66,50
20170410,72,46
20170411,63,50
20170412,64,46
20170413,70,44
20170414,57,51
20170415,68,46
20170416,75,46
20170417,62,48
20170418,61,45
20170419,57,42
20170420,64,46
20170421,61,43
20170422,63,48
20170423,70,44
20170424,66,46
20170425,66,48
20170426,69,48
20170427,82,50
20170428,81,55
20170429,70,53
20170430,77,51
20170501,70,48
20170502,66,52
20170503,63,48
20170504,64,51
20170505,73,46
20170506,88,54
20170507,91,57
20170508,84,60
20170509,73,55
20170510,57,52
20170511,64,51
20170512,64,50
20170513,72,46
20170514,66,50
20170515,63,51
20170516,70,48
20170517,68,50
20170518,73,50
20170519,70,52
20170520,73,51
20170521,78,54
20170522,81,51
20170523,86,55
20170524,78,55
20170525,69,54
20170526,69,55
20170527,69,54
20170528,73,52
20170529,69,53
20170530,66,55
20170531,64,54
20170601,66,54
20170602,64,54
20170603,70,55
20170604,73,59
20170605,68,55
20170606,70,53
20170607,75,51
20170608,70,50
20170609,75,53
20170610,75,55
20170611,75,53
20170612,79,52
20170613,90,59
20170614,89,60
20170615,86,59
20170616,72,55
20170617,79,53
20170618,79,57
20170619,73,55
20170620,71,55
20170621,77,55
20170622,79,54
20170623,77,54
20170624,77,53
20170625,82,53
20170626,71,54
20170627,73,55
20170628,73,57
20170629,77,60
20170630,75,54
20170701,78,54
20170702,82,57
20170703,72,57
20170704,84,59
20170705,84,61
20170706,75,60
20170707,73,55
20170708,78,55
20170709,73,57
20170710,73,59
20170711,78,62
20170712,75,59
20170713,79,60
20170714,73,60
20170715,78,62
20170716,75,59
20170717,77,60
20170718,75,63
20170719,80,59
20170720,79,59
20170721,77,61
20170722,75,63
20170723,79,64
20170724,73,61
20170725,72,57
20170726,75,60
20170727,78,60
20170728,77,57
20170729,73,57
20170730,80,59
20170731,75,59
20170801,75,59
20170802,73,60
20170803,79,60
20170804,77,59
20170805,71,57
20170806,71,59
20170807,73,57
20170808,71,55
20170809,77,60
20170810,77,57
20170811,73,57
20170812,72,55
20170813,75,55
20170814,73,55
20170815,75,57
20170816,79,60
20170817,80,55
20170818,78,57
20170819,77,55
20170820,80,64
20170821,82,62
20170822,82,60
20170823,82,57
20170824,78,59
20170825,73,61
20170826,73,61
20170827,78,59
20170828,86,62
20170829,88,68
20170830,90,68
20170831,80,66
20170901,87,62
20170902,89,61
20170903,78,61
20170904,78,63
20170905,89,57
20170906,82,64
20170907,75,61
20170908,73,62
20170909,71,61
20170910,73,59
20170911,71,59
20170912,72,60
20170913,77,57
20170914,75,60
20170915,73,57
20170916,72,61
20170917,72,55
20170918,73,55
20170919,66,55
20170920,71,52
20170921,77,57
20170922,64,57
20170923,68,55
20170924,78,52
20170925,84,53
20170926,87,57
20170927,75,55
20170928,66,54
20170929,73,52
20170930,75,48
20171001,71,57
20171002,81,53
20171003,73,54
20171004,69,55
20171005,64,50
20171006,73,45
20171007,77,46
20171008,79,53
20171009,72,53
20171010,69,54
20171011,70,48
20171012,64,54
20171013,70,53
20171014,66,51
20171015,68,52
20171016,66,52
20171017,66,50
20171018,73,50
20171019,72,57
20171020,66,54
20171021,73,51
20171022,81,51
20171023,84,53
20171024,79,55
20171025,66,53
20171026,68,46
20171027,66,52
20171028,75,52
20171029,63,55
20171030,63,53
20171031,63,54
20171101,66,53
20171102,77,50
20171103,80,48
20171104,77,48
20171105,66,48
20171106,62,52
20171107,61,48
20171108,59,53
20171109,63,48
20171110,66,48
20171111,63,48
20171112,68,44
20171113,72,51
20171114,75,55
20171115,69,51
20171116,63,55
20171117,66,51
20171118,64,53
20171119,66,48
20171120,63,46
20171121,64,43
20171122,64,37
20171123,70,37
20171124,60,37
20171125,60,46
20171126,63,42
20171127,63,45
20171128,64,46
20171129,62,41
20171130,55,42
20171201,57,37
20171202,61,45
20171203,66,50
20171204,61,54
20171205,60,50
20171206,57,48
20171207,55,45
20171208,53,42
20171209,57,39
20171210,57,39
20171211,57,41
20171212,55,35
20171213,59,34
20171214,55,34
20171215,55,39
20171216,55,43
20171217,57,48
20171218,57,43
20171219,59,41
20171220,55,43
20171221,53,39
20171222,53,32
20171223,55,37
20171224,57,45
20171225,57,37
20171226,53,43
20171227,48,37
20171228,48,43
20171229,57,44
20171230,52,43
20171231,57,42
